"x","y","ID"
-1.20451733093866,-0.178585097339851,"CC-82_LL_8"
-1.21428948380434,-0.192363176066368,"CC-82_LL_8"
-1.22406163667001,-0.192363176066368,"CC-82_LL_8"
-1.23383378953569,-0.206141254792885,"CC-82_LL_8"
-1.24360594240136,-0.219919333519401,"CC-82_LL_8"
-1.25337809526704,-0.219919333519401,"CC-82_LL_8"
-1.26315024813272,-0.233697412245918,"CC-82_LL_8"
-1.27292240099839,-0.247475490972434,"CC-82_LL_8"
-1.28269455386407,-0.247475490972434,"CC-82_LL_8"
-1.29246670672974,-0.247475490972434,"CC-82_LL_8"
-1.30223885959542,-0.261253569698951,"CC-82_LL_8"
-1.31201101246109,-0.261253569698951,"CC-82_LL_8"
-1.32178316532677,-0.261253569698951,"CC-82_LL_8"
-1.33155531819245,-0.261253569698951,"CC-82_LL_8"
-1.34132747105812,-0.261253569698951,"CC-82_LL_8"
-1.3510996239238,-0.275031648425468,"CC-82_LL_8"
-1.36087177678947,-0.275031648425468,"CC-82_LL_8"
-1.36087177678947,-0.288809727151984,"CC-82_LL_8"
-1.37064392965515,-0.302587805878501,"CC-82_LL_8"
-1.37064392965515,-0.316365884605018,"CC-82_LL_8"
-1.38041608252083,-0.330143963331534,"CC-82_LL_8"
-1.3901882353865,-0.343922042058051,"CC-82_LL_8"
-1.3901882353865,-0.357700120784567,"CC-82_LL_8"
-1.39996038825218,-0.371478199511084,"CC-82_LL_8"
-1.40973254111785,-0.385256278237601,"CC-82_LL_8"
-1.41950469398353,-0.385256278237601,"CC-82_LL_8"
-1.42927684684921,-0.399034356964117,"CC-82_LL_8"
-1.43904899971488,-0.412812435690634,"CC-82_LL_8"
-1.44882115258056,-0.412812435690634,"CC-82_LL_8"
-1.45859330544623,-0.42659051441715,"CC-82_LL_8"
-1.46836545831191,-0.42659051441715,"CC-82_LL_8"
-1.47813761117759,-0.440368593143667,"CC-82_LL_8"
-1.48790976404326,-0.440368593143667,"CC-82_LL_8"
-1.48790976404326,-0.454146671870184,"CC-82_LL_8"
-1.49768191690894,-0.4679247505967,"CC-82_LL_8"
-1.49768191690894,-0.481702829323217,"CC-82_LL_8"
-1.50745406977461,-0.495480908049734,"CC-82_LL_8"
-1.51722622264029,-0.50925898677625,"CC-82_LL_8"
